epoch,consumer,corpus,condition,project,chunk,mode,candidate_base,candidate_expat,base_expat,candidate_base_min,candidate_base_max
1,native,tuning,gtk/4096/namespaces-1,gtk,4096,namespaces-1,0.9852974569657236,1.1527694576286807,1.1793824938011617,0.9611138682315323,1.016040114668124
1,native,tuning,docbook/4096/namespaces-0,docbook,4096,namespaces-0,0.9833479724784073,1.1494874046542025,1.1683023118923417,0.955290298382534,1.0293790556809224
1,native,generated,text/4096/namespaces-1,text,4096,namespaces-1,0.9926637648632758,1.0232422263721426,1.0351412103093718,0.9688261474722405,1.0018677800626514
1,native,tuning,maven/65536/namespaces-0,maven,65536,namespaces-0,0.9680783402629212,1.3240240020489555,1.3722176875116543,0.9563441393526237,0.9804471799891477
1,native,tuning,vulkan/65536/namespaces-0,vulkan,65536,namespaces-0,0.9832162606431091,1.1701216624767918,1.1900959222454583,0.9706279297801778,1.020447538226477
1,native,observed-holdout,qt/4096/namespaces-0,qt,4096,namespaces-0,0.9462905478689455,1.501918577138678,1.5873245129211724,0.9204158670371321,1.0112760400358067
1,native,observed-holdout,dotnet/4096/namespaces-1,dotnet,4096,namespaces-1,0.9964770083907951,1.0867045527392571,1.0925276400380082,0.9781221536398733,1.0505332611269058
1,native,tuning,batik/4096/namespaces-0,batik,4096,namespaces-0,1.0173713875103856,0.8216693118881017,0.8190117837083808,0.9790353430720776,1.0256379226111239
1,native,generated,namespaces/4096/namespaces-0,namespaces,4096,namespaces-0,0.9714494839397709,1.4052584894059488,1.449025027091244,0.9554323620064908,0.9850874322868197
1,native,observed-holdout,hadoop/65536/namespaces-1,hadoop,65536,namespaces-1,0.9793153794725581,1.3179934351148856,1.360029441145064,0.9629508881025565,1.0107374933155626
1,native,generated,entities/65536/namespaces-1,entities,65536,namespaces-1,0.7092140592479189,1.7644699645604733,2.4941213621759597,0.6805230154355016,1.0022920065718428
1,native,tuning,gtk/65536/namespaces-0,gtk,65536,namespaces-0,0.971685904756952,1.239122493708905,1.265219991939148,0.9343458770791554,1.0112407426194583
1,native,tuning,wayland/65536/namespaces-0,wayland,65536,namespaces-0,1.0030544031792366,0.9739189418511819,0.9683097602644359,0.9882975640397603,1.019593652835853
1,native,observed-holdout,libreoffice/65536/namespaces-0,libreoffice,65536,namespaces-0,0.9958507687047,1.4230373859235474,1.4454738868754853,0.9572321964564778,1.0141736613824992
1,native,observed-holdout,qt/65536/namespaces-0,qt,65536,namespaces-0,0.9448948551208722,1.492874981738911,1.5753648795326731,0.9411405566248263,0.9577161106372986
1,native,observed-holdout,libreoffice/4096/namespaces-1,libreoffice,4096,namespaces-1,0.99366788106912,1.5193933020345924,1.5531674192981966,0.8866758965137737,1.0790541836188412
1,native,tuning,batik/65536/namespaces-1,batik,65536,namespaces-1,1.0141993695595592,1.0059786091573821,0.987795994889125,0.9673796710833747,1.076189293852395
1,native,generated,elements/4096/namespaces-0,elements,4096,namespaces-0,0.9641734293017902,1.7074116034065019,1.7720024922773732,0.9471781691729199,0.9921979877042768
1,native,observed-holdout,dotnet/65536/namespaces-1,dotnet,65536,namespaces-1,0.9999542443121322,1.1030690539114356,1.103937243985334,0.9550135961188236,1.0963605549596054
